Frame Nr,Timestamp,People crossed on green,Vehicles crossed on green,People crossed on red,Vehicles crossed on red,Traffic light color
1,40.0,0,0,0,0,Red
2,80.0,0,0,0,0,Red
3,120.0,0,0,0,0,Red
4,160.0,0,0,0,0,Red
5,200.00099999999998,0,0,0,0,Red
6,240.0,0,0,0,0,Red
7,279.99999999999994,0,0,0,0,Red
8,320.0,0,0,0,0,Red
9,360.0,0,0,0,0,Red
10,399.99999999999994,0,0,0,0,Red
11,440.0,0,0,0,0,Red
12,480.0,0,0,0,0,Red
13,520.0,0,0,0,0,Red
14,559.9999999999999,0,0,0,0,Red
15,600.0,0,0,0,0,Red
16,640.0,0,0,0,0,Red
17,679.9999999999999,0,0,0,0,Red
18,720.0,0,0,0,0,Red
19,760.0,0,0,0,0,Red
20,799.9999999999999,0,0,0,0,Red
21,840.0,0,0,0,0,Red
22,880.0,0,0,0,0,Red
23,919.9999999999999,0,0,0,0,Red
24,960.0,0,0,0,0,Red
25,1000.0,0,0,0,0,Red
26,1040.0,0,0,0,0,Red
27,1079.9999999999998,0,0,0,0,Red
28,1119.9999999999998,0,0,0,0,Red
29,1160.0,0,0,0,0,Red
30,1200.0,0,0,0,0,Red
31,1240.0,0,0,0,0,Red
32,1280.0,0,0,0,0,Red
33,1319.9999999999998,0,0,0,0,Red
34,1359.9999999999998,0,0,0,0,Red
35,1400.0,0,0,0,0,Red
36,1440.0,0,0,0,0,Red
37,1480.0,0,0,0,0,Green
38,1520.0,0,0,0,0,Red
39,1559.9999999999998,0,0,0,0,Red
40,1599.9999999999998,0,0,0,0,Red
41,1640.0,0,0,0,0,Red
42,1680.0,0,0,0,0,Red
43,1720.0,0,0,0,0,Red
44,1760.0,0,0,0,0,Red
45,1799.9999999999998,0,0,0,0,Red
46,1839.9999999999998,0,0,0,0,Red
47,1880.0,0,0,0,0,Red
48,1920.0,0,0,0,0,Red
49,1960.0,0,0,0,0,Red
50,2000.0,0,0,0,0,Red
51,2040.0,0,0,0,0,Red
52,2080.0,0,0,0,0,Red
53,2120.0,0,0,0,0,Red
54,2159.9999999999995,0,0,0,0,Red
55,2199.9999999999995,0,0,0,0,Red
56,2239.9999999999995,0,0,0,0,Red
57,2280.0,0,0,0,0,Red
58,2320.0,0,0,0,0,Red
59,2360.0,0,0,0,0,Red
60,2400.0,0,0,0,0,Red
61,2440.0,0,0,0,0,Red
62,2480.0,0,0,0,0,Red
63,2520.0,0,0,0,0,Red
64,2560.0,0,0,0,0,Red
65,2600.0,0,0,0,0,Red
66,2639.9999999999995,0,0,0,0,Red
67,2679.9999999999995,0,0,0,0,Red
68,2719.9999999999995,0,0,0,0,Red
69,2760.0,0,0,0,0,Red
70,2800.0,0,0,0,0,Red
71,2840.0,0,0,0,0,Red
72,2880.0,0,0,0,0,Red
73,2920.0,0,0,0,0,Red
74,2960.0,0,0,0,0,Red
75,3000.0,0,0,0,0,Red
76,3040.0,0,0,0,0,Red
77,3080.0,0,0,0,0,Red
78,3119.9999999999995,0,0,0,0,Red
79,3159.9999999999995,0,0,0,0,Red
80,3199.9999999999995,0,0,0,0,Red
81,3239.9999999999995,0,0,0,0,Red
82,3280.0,0,0,0,0,Red
83,3320.0,0,0,0,0,Red
84,3360.0,0,0,0,0,Red
85,3400.0,0,0,0,0,Red
86,3440.0,0,0,0,0,Red
87,3480.0,0,0,0,0,Red
88,3520.0,0,0,0,0,Red
89,3560.0,0,0,0,0,Red
90,3599.9999999999995,0,0,0,0,Red
91,3639.9999999999995,0,0,0,0,Red
92,3679.9999999999995,0,0,0,0,Red
93,3719.9999999999995,0,0,0,0,Red
94,3760.0,0,0,0,0,Red
95,3800.0,0,0,0,0,Red
96,3840.0,0,0,0,0,Red
97,3880.0,0,0,0,0,Red
98,3920.0,0,0,0,0,Red
99,3960.0,0,0,0,0,Red
100,4000.0,0,0,0,0,Red
101,4040.0,0,0,0,0,Red
102,4080.0,0,0,0,0,Red
103,4120.0,0,0,0,0,Red
104,4160.0,0,0,0,0,Red
105,4200.0,0,0,0,0,Red
106,4240.0,0,0,0,0,Red
107,4280.0,0,0,0,0,Green
108,4319.999999999999,0,0,0,0,Green
109,4359.999999999999,0,0,0,0,Green
110,4399.999999999999,0,0,0,0,Red
111,4439.999999999999,0,0,0,0,Red
112,4479.999999999999,0,0,0,0,Red
113,4520.0,0,0,0,0,Red
114,4560.0,0,0,0,0,Red
115,4600.0,0,0,0,0,Red
116,4640.0,0,0,0,0,Red
117,4680.0,0,0,0,0,Red
118,4720.0,0,0,0,0,Green
119,4760.0,0,0,0,0,Green
120,4800.0,0,0,0,0,Red
121,4840.0,0,0,0,0,Red
122,4880.0,0,0,0,0,Red
123,4920.0,0,0,0,0,Red
124,4960.0,0,0,0,0,Red
125,5000.0,0,0,0,0,Unknown
126,5040.0,0,0,0,0,Unknown
127,5080.0,0,0,0,0,Unknown
128,5120.0,0,0,0,0,Unknown
129,5160.0,0,0,0,0,Unknown
130,5200.0,0,0,0,0,Unknown
131,5239.999999999999,0,0,0,0,Red
132,5279.999999999999,0,0,0,0,Red
133,5319.999999999999,0,0,0,0,Red
134,5359.999999999999,0,0,0,0,Red
135,5399.999999999999,0,0,0,0,Red
136,5439.999999999999,0,0,0,0,Red
137,5479.999999999999,0,0,0,0,Red
138,5520.0,0,1,0,0,Red
139,5560.0,0,1,0,0,Red
140,5600.0,0,1,0,0,Red
141,5640.0,0,1,0,0,Red
142,5680.0,0,1,0,0,Red
143,5720.0,0,1,0,0,Red
144,5760.0,0,1,0,0,Red
145,5800.0,0,1,0,0,Red
146,5840.0,0,1,0,0,Red
147,5880.0,0,1,0,0,Red
148,5920.0,0,1,0,0,Red
149,5960.0,0,1,0,0,Red
150,6000.0,0,1,0,0,Red
151,6040.0,0,1,0,0,Red
152,6080.0,0,1,0,0,Red
153,6120.0,0,1,0,0,Red
154,6160.0,0,1,0,0,Red
155,6199.999999999999,0,1,0,0,Red
156,6239.999999999999,0,1,0,0,Red
157,6279.999999999999,0,1,0,0,Red
158,6319.999999999999,0,1,0,0,Red
159,6359.999999999999,0,1,0,0,Red
160,6399.999999999999,0,1,0,0,Red
161,6439.999999999999,0,1,0,0,Red
162,6479.999999999999,0,1,0,0,Red
163,6520.0,0,1,0,0,Red
164,6560.0,0,1,0,0,Red
165,6600.0,0,1,0,0,Red
